City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
383,Aden,YE,86.22,12.7794,45.0367,Sama Emirate Hotel
384,Belmonte,BR,82.54,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
385,Charyshskoye,RU,49.3,51.3978,83.5598,Gostinitsa Charysh
386,Herzberg,DE,60.78,51.6869,13.2202,Gästehaus Alter Fritz - Ferienwohnungen in Herzberg (Elster) - Übernachtung Schlafen Pension Hotel
387,Hay River,CA,58.98,60.8156,-115.7999,Ptarmigan Inn
389,Pangai,TO,71.71,-19.8,-174.35,Ha'apai Beach Resort
391,Rawson,AR,66.38,-43.3002,-65.1023,Hosteria Sampedro
392,Luganville,VU,78.03,-15.5333,167.1667,The Espiritu Hotel
394,Champerico,GT,88.34,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
397,Dongsheng,CN,49.08,39.8161,109.9776,Crowne Plaza Ordos
398,Belgrade,RS,71.26,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
399,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
400,Samarai,PG,81.77,-10.6167,150.6667,Nuli Sapi
402,Charters Towers,AU,70.7,-20.1,146.2667,Cattleman's Rest Motor Inn
404,Rock Sound,BS,77.86,24.9,-76.2,Pink Corral Bay Property
405,Stavern,NO,59.72,59.0,10.0333,Hotel Wassilioff
406,Shieli,KZ,75.94,44.1667,66.75,Gostinitsa Aybek Shieli
407,Serebryansk,KZ,52.86,49.6925,83.2892,"Gostinitsa ""Vodoley"""
409,Aviles,ES,61.77,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
411,Luwuk,ID,79.7,-0.9516,122.7875,Hotel Santika Luwuk
414,Solwezi,ZM,64.45,-12.1688,26.3894,Country Lodge Solwezi
415,Kasane,BW,60.89,-17.8167,25.15,The Old House
416,Tsuyama,JP,52.83,35.05,134.0,Tsuyama Central Hotel Annex
417,Saint-Pierre,RE,76.68,-21.3393,55.4781,Alize Plage
419,Gizo,SB,82.26,-8.103,156.8419,Imagination Island
420,Makueni,KE,67.33,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
421,Naze,JP,67.12,28.3667,129.4833,Shishime Hotel
422,Fairview,US,74.88,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
423,Menemen,TR,64.18,38.6075,27.0694,Orkide Otel
424,Urumqi,CN,67.15,43.801,87.6005,Hua Ling Grand Hotel Urumqi
425,Nikki,BJ,87.49,9.9401,3.2108,Monnon
426,Neuquen,AR,69.69,-38.9516,-68.0591,Hotel del Comahue
427,Gimli,CA,46.42,50.6336,-96.9907,Lakeview Gimli Resort
428,Senekal,ZA,56.32,-28.3197,27.6208,Hendersons Lodge
429,Tay Ninh,VN,79.57,11.3,106.1,Thanh Tuyền Hotel
430,Kazanskaya,RU,49.19,45.4106,40.4361,Tikhiy Dvorik
431,Bambanglipuro,ID,76.44,-7.95,110.2833,Puri Brata
433,Kabanjahe,ID,64.98,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
435,Show Low,US,69.08,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
436,Melo,UY,66.04,-32.3667,-54.1833,Hotel Juana
437,Punjai Puliyampatti,IN,81.64,11.35,77.2,V.A.S Lodge
438,Daru,PG,78.22,-9.0763,143.2092,Daru Lodge
439,Oranjestad,AW,87.75,12.524,-70.027,Divi Village Golf & Beach Resort
442,Tateyama,JP,59.09,34.9833,139.8667,Tateyama Seaside Hotel
443,Praya,CV,79.34,14.9215,-23.5087,LT Aparthotel
444,Fujin,CN,61.11,47.26,132.0322,Xilong Hotel Fujin Shop
445,Kudahuvadhoo,MV,82.36,2.6708,72.8944,Niyama Private Islands Maldives
446,Dayong,CN,68.63,25.0209,118.2898,Haiyue Express Hotel
447,Sulphur,US,84.18,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
449,Sarai Naurang,PK,82.0,32.8259,70.7814,Taj Mahal hotel
451,Taltal,CL,66.09,-25.4,-70.4833,Residencial Karime
454,Contai,IN,82.02,21.7786,87.7536,PATHFINDER
455,Alice Town,BS,79.2,25.7167,-79.3,Bimini Big Game Club Resort & Marina
457,Prince Albert,CA,64.35,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
458,Tuy Hoa,VN,75.97,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
459,Namie,JP,53.55,37.4833,141.0,いこいの村なみえ
460,Petatlan,MX,84.0,17.5167,-101.2667,Hotel California Petatlán
462,Bontang,ID,78.46,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
463,Araguacu,BR,89.44,-12.9306,-49.8264,Hotel Tocantins
464,Guarapari,BR,78.89,-20.6667,-40.4975,Hotel Porto do Sol
465,Kailua,US,75.15,21.4022,-157.7394,Sheffield House Bed & Breakfast
466,Dingli,MT,63.81,35.8614,14.3822,The Xara Palace Relais & Chateaux
468,Marawi,PH,69.13,7.9986,124.2928,Derogongan Residence
471,Ust-Ishim,RU,50.31,57.6935,71.1665,"Velichko T.p., Gostinitsa"
473,Trairi,BR,80.55,-3.2778,-39.2689,janelas do mar
474,Bairiki,KI,78.8,1.3292,172.9752,Tarawa Boutique Hotel
476,Pagudpud,PH,79.54,18.5616,120.7868,Saud Beach Resort and Hotel - 2
477,Talcahuano,CL,53.28,-36.7167,-73.1167,departamento comodo
478,Ornskoldsvik,SE,49.15,63.2909,18.7153,ファーストホテル スタット
481,Ca Mau,VN,79.54,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
482,Mizdah,LY,85.91,31.4451,12.9801,محمدالمبروك الاريقط
483,Saint Anthony,US,65.25,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
484,Quelimane,MZ,75.15,-17.8786,36.8883,Hotel Flamingo
485,Long,TH,85.3,18.0761,99.8326,Nopphakoe Homestay
486,Lagoa,PT,61.99,39.05,-27.9833,Casa Das Faias
487,Pierre,US,58.86,44.3683,-100.351,Ramkota Hotel
489,Tucurui,BR,85.46,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
491,Rwamagana,RW,65.64,-1.9487,30.4347,Avega East Hostel
492,Hasaki,JP,59.4,35.7333,140.8333,Inubosaki Kanko Hotel
496,La Libertad,EC,78.46,-2.2333,-80.9,Playa Canela Hotel Boutique
497,Artyom,AZ,59.14,40.4723,50.333,Pir hos
498,Grand Gaube,MU,77.4,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
499,Chifeng,CN,49.05,42.2683,118.9636,Junyu Tiancheng Hotel
500,Imphal,IN,65.26,24.8167,93.95,State Guest House
502,Ferme-Neuve,CA,57.09,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
503,Hualmay,PE,70.63,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
507,Bay Roberts,CA,47.95,47.5999,-53.2648,Stonewall Inn
508,Camacha,PT,62.02,33.0833,-16.3333,Hotel Porto Santo & Spa
509,Portland,US,51.04,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
510,Iberia,US,85.05,29.9502,-91.7507,back to back rv park
511,Cuiluan,CN,47.01,47.72,128.648,Shuncheng Hotel
512,Villa Guerrero,MX,82.02,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
514,Chulumani,BO,78.3,-16.4096,-67.5263,Hotel Cabanas Paradise
516,Virginia Beach,US,71.06,36.8529,-75.978,Hilton Virginia Beach Oceanfront
517,Abu Dhabi,AE,84.31,24.4667,54.3667,Beach Rotana
518,Labuhan,ID,78.71,-6.8844,112.2051,DoubleFAG
519,Denizli,TR,56.91,37.8402,29.0698,Anemon Denizli Hotel
520,Coshocton,US,62.98,40.272,-81.8596,Roscoe Motor Inn
521,Dunmore East,IE,59.22,52.1514,-6.9861,The Strand Inn
522,Funtua,NG,89.65,11.5233,7.3081,Sani Jikan Mallam Hotel
525,Imbituba,BR,70.86,-28.24,-48.6703,Praia Hotel Imbituba
527,Anzio,IT,69.39,41.4853,12.6179,Hotel Lido Garda
528,Kavaratti,IN,85.26,10.5669,72.642,Green leaf
