City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Vao,NC,75.38,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
443,Morant Bay,JM,82.02,Clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
445,Kaohsiung,TW,80.55,Clouds,22.6163,120.3133,御宿商旅-中山館
446,Libreville,GA,78.89,Rain,0.3925,9.4537,Le Méridien Re-Ndama
447,Haverfordwest,GB,56.55,Clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
450,Ushtobe,KZ,66.04,Clouds,45.2514,77.9838,Filipin Squad
451,Iralaya,HN,80.06,Clouds,15.0,-83.2333,Iglesia morava renovada
452,Ploemeur,FR,56.82,Clear,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
454,Dicabisagan,PH,84.65,Clear,17.0818,122.4157,Nancy Montanes Bernardo
455,La Romana,DO,79.16,Clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
456,Rondonopolis,BR,67.75,Clear,-16.4708,-54.6356,Serras Hotel
457,Lahat,ID,73.76,Rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
461,Takaungu,KE,77.83,Rain,-3.6837,39.8566,Takaungu House
462,Komsomolskiy,UZ,61.52,Clouds,40.4272,71.7189,Ikathouse
463,Ishigaki,JP,78.93,Clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
464,Gondal,IN,79.47,Clear,21.9667,70.8,Orchard Palace
471,Xuddur,SO,73.89,Clouds,4.1213,43.8894,Banjanay Hotel
472,Dali,CN,60.8,Clear,25.7,100.1833,Dali Travelling With Hostel
474,Washington,US,56.79,Clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
475,Pochutla,MX,85.82,Clear,15.7432,-96.4661,Hotel Posada San Jose
476,Palauig,PH,86.05,Clouds,15.435,119.9045,Alperi Botique Resort
477,Maragheh,IR,50.32,Clear,37.3917,46.2398,Maragheh Grand Hotel
478,Abha,SA,66.02,Clear,18.2164,42.5053,Abha Hotel
480,Manokwari,ID,83.43,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
481,Ha Tinh,VN,74.37,Clouds,18.3333,105.9,Phú Quý
482,Rio Grande,BR,50.95,Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
484,Tarauaca,BR,77.11,Clouds,-8.1614,-70.7656,Flat Temporada
485,Half Moon Bay,US,76.59,Mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
486,Ulcinj,ME,57.42,Clouds,41.9294,19.2244,Hotel Palata Venezia
487,Uige,AO,68.74,Clouds,-7.6087,15.0613,Hotel Catraio
488,Makokou,GA,70.65,Clouds,0.5738,12.8642,Hôtel
489,Marawi,PH,75.16,Clouds,7.9986,124.2928,Derogongan Residence
492,Atar,MR,85.57,Clear,20.5169,-13.0499,Oumou Elghoura
493,San Francisco,US,74.95,Clouds,37.7749,-122.4194,Edwardian Hotel
494,Alyangula,AU,80.47,Clouds,-13.8483,136.4192,Groote Eylandt Lodge
496,Sassandra,CI,79.63,Rain,4.95,-6.0833,la terrasse
497,Alofi,NU,80.49,Clouds,-19.0595,-169.9187,Taloa Heights
499,Salinas,US,79.61,Clear,36.6777,-121.6555,Laurel Inn & Conference Center
500,Bosaso,SO,85.93,Clear,11.2842,49.1816,Red Sea Hotel
501,Yatou,CN,58.3,Clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
502,Sioux Lookout,CA,64.47,Clouds,50.1001,-91.917,Knobby's Fly-In Camps
503,Magrath,CA,62.31,Clouds,49.4167,-112.8686,Lindenbaum Bed & Breakfast
504,Arroyo,ES,51.84,Clear,41.6096,-4.7969,Hotel El Jardín de la Abadía
505,Chicama,PE,63.14,Clouds,-7.8447,-79.1469,Balihai Bungalows
506,Bambanglipuro,ID,79.07,Clouds,-7.95,110.2833,Puri Brata
507,Sibu,MY,77.31,Clouds,2.3,111.8167,RH HOTEL (4 Star)
508,Benguela,AO,76.75,Clouds,-12.5763,13.4055,Hotel Praia Morena
509,Kikwit,CD,74.95,Clouds,-5.041,18.8162,HOTEL PLACE YALABA
510,Pontian Kecil,MY,79.12,Rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
511,Pingliang,CN,63.18,Clear,35.5392,106.6861,North Gate Hostel
514,Luang Prabang,LA,73.6,Clouds,19.8856,102.1347,The Apsara
515,Ugoofaaru,MV,84.29,Clouds,5.6667,73.0,Ungoofaaru Inn
516,Whitehorse,CA,47.01,Clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
517,Mount Gambier,AU,51.71,Rain,-37.8333,140.7667,The Commodore
518,Buhe,CN,74.44,Clouds,30.2876,112.2298,Jingzhou Hongmen Hotel
519,Baculin,PH,82.08,Clouds,7.4525,126.5842,Baculin Cove Beach Resort
520,Maldonado,UY,57.22,Clear,-34.6667,-54.9167,La Cimarrona
521,College,US,53.92,Clouds,64.8569,-147.8028,Pike's Waterfront Lodge
522,San Quintin,MX,67.23,Clear,30.4833,-115.95,Don Eddie's Sport Fishing Center
523,Wakkanai,JP,48.56,Clouds,45.4094,141.6739,Hyōsetsu-sō
524,Berbera,SO,85.73,Clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
525,Hambantota,LK,79.66,Clouds,6.1241,81.1185,Bungalow 63
526,Lazaro Cardenas,MX,80.8,Clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
527,Zhezkazgan,KZ,51.13,Clouds,47.8043,67.7144,Hotel Zumrat
528,Asbestos,CA,49.55,Clear,45.7668,-71.9324,Complexe Hotelier Le Williams
530,Urumqi,CN,52.75,Clear,43.801,87.6005,Hua Ling Grand Hotel Urumqi
