City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Abalak,RU,2022-05-05 18:30:31,58.1286,68.5944,47.08,88,100,5.46
193,Ixtapa,MX,2022-05-05 18:30:31,20.7,-105.2,79.83,69,0,11.5
194,Bograd,RU,2022-05-05 18:30:32,54.2344,90.8328,45.52,40,83,4.59
195,Cap Malheureux,MU,2022-05-05 18:30:32,-19.9842,57.6142,75.47,81,10,10.0
196,Waipawa,NZ,2022-05-05 18:30:33,-41.4122,175.5153,50.31,93,8,4.27
197,Sibolga,ID,2022-05-05 18:30:33,1.7427,98.7792,77.43,94,100,4.92
198,Lambarene,GA,2022-05-05 18:30:34,-0.7001,10.2406,72.64,93,100,6.17
199,Buala,SB,2022-05-05 18:30:34,-8.145,159.5921,80.17,79,13,5.66
200,Port-Gentil,GA,2022-05-05 18:30:35,-0.7193,8.7815,84.16,79,20,9.22
201,Berlevag,NO,2022-05-05 18:30:35,70.8578,29.0864,31.8,76,100,16.69
202,Terrace,CA,2022-05-05 18:26:34,54.5163,-128.6035,46.31,76,75,6.91
203,San Antonio,US,2022-05-05 18:29:43,29.4241,-98.4936,86.97,71,75,12.66
204,Lorengau,PG,2022-05-05 18:30:36,-2.0226,147.2712,80.73,82,14,4.94
205,Karaton,ID,2022-05-05 18:30:36,-6.3424,106.1045,75.49,95,38,3.04
206,Banjar,ID,2022-05-05 18:30:37,-8.19,114.9675,76.98,92,6,4.0
207,Ponta Delgada,PT,2022-05-05 18:26:28,37.7333,-25.6667,65.12,72,20,14.97
208,Flinders,AU,2022-05-05 18:30:38,-34.5833,150.8552,53.06,66,1,7.29
209,Sistranda,NO,2022-05-05 18:30:38,63.7256,8.834,44.56,80,99,17.18
210,Constitucion,CL,2022-05-05 18:30:38,-35.3333,-72.4167,60.91,75,96,7.54
211,Aykhal,RU,2022-05-05 18:30:39,66.0,111.5,30.27,93,99,14.7
212,Ryuo,JP,2022-05-05 18:30:39,35.65,138.5,55.18,89,100,1.03
213,Ughelli,NG,2022-05-05 18:30:40,5.4899,6.0074,78.98,85,82,4.83
214,Kalmunai,LK,2022-05-05 18:30:40,7.4167,81.8167,81.43,80,100,3.65
215,Ust-Omchug,RU,2022-05-05 18:30:41,61.15,149.6333,27.18,95,100,6.13
216,Cooma,AU,2022-05-05 18:30:41,-36.2333,149.1333,33.57,80,1,5.75
217,Yerbogachen,RU,2022-05-05 18:30:42,61.2767,108.0108,29.93,91,100,6.04
218,Bougouni,ML,2022-05-05 18:30:42,11.417,-7.479,95.47,25,85,7.2
219,Livingston,GB,2022-05-05 18:29:53,55.9029,-3.5226,58.28,74,75,13.8
220,Port Macquarie,AU,2022-05-05 18:30:13,-31.4333,152.9167,61.9,88,100,8.86
221,Argir,FO,2022-05-05 18:30:43,61.9959,-6.7715,47.37,88,100,19.33
222,Turukhansk,RU,2022-05-05 18:30:43,65.8167,87.9833,24.21,88,17,10.65
223,Williston,US,2022-05-05 18:27:24,48.147,-103.618,74.03,37,22,5.01
224,Verkhoyansk,RU,2022-05-05 18:30:44,67.5447,133.385,21.15,97,100,2.75
225,Sola,VU,2022-05-05 18:30:44,-13.8833,167.55,81.95,72,3,6.53
226,Puerto Quijarro,BO,2022-05-05 18:31:45,-17.7833,-57.7667,84.87,24,0,3.27
227,Curup,ID,2022-05-05 18:31:45,-3.4667,102.5333,68.94,97,100,1.43
228,Maraa,BR,2022-05-05 18:31:45,-1.8333,-65.3667,84.25,71,78,1.07
229,Praia Da Vitoria,PT,2022-05-05 18:31:46,38.7333,-27.0667,66.45,77,40,18.75
230,Caravelas,BR,2022-05-05 18:31:46,-17.7125,-39.2481,83.08,71,0,12.71
231,Ploemeur,FR,2022-05-05 18:31:47,47.7333,-3.4333,63.63,70,0,12.66
